id_empresa;codigo_provincia_2015;provincia_2015;codigo_provincia_2014;provincia_2014;codigo_provincia_2013;provincia_2013;codigo_provincia_2012;provincia_2012;codigo_canton_2015;canton_2015;codigo_canton_2014;canton_2014;codigo_canton_2013;canton_2013;codigo_canton_2012;canton_2012;empleados2015;empleados2014;empleados2013;empleados2012;emp_hombres_2015;emp_hombres_2014;emp_hombres_2013;emp_hombres_2012;emp_mujeres_2015;emp_mujeres_2014;emp_mujeres_2013;emp_mujeres_2012;ventas_totales2015;ventas_totales2014;ventas_totales2013;ventas_totales2012;id_nuevo
13582534017;1;Azuay          ;1;Azuay          ;1;Azuay          ;1;Azuay          ;101;Cuenca        ;101;Cuenca        ;101;Cuenca        ;101;Cuenca        ;0;23;32;32;0;13;19;18;0;10;13;14;0;0;0;365480;13582534017
13582673017;1;Azuay          ;1;Azuay          ;1;Azuay          ;1;Azuay          ;101;Cuenca        ;101;Cuenca        ;101;Cuenca        ;101;Cuenca        ;9;10;10;10;3;3;3;3;6;7;7;7;150898;159555;223625;183674;13582673017
13582772015;1;Azuay          ;1;Azuay          ;1;Azuay          ;1;Azuay          ;101;Cuenca        ;101;Cuenca        ;101;Cuenca        ;101;Cuenca        ;0;13;13;13;0;4;4;4;0;9;9;9;0;239764;235080;246407;13582772015
13582803018;21;Sucumbíos     ;21;Sucumbíos     ;21;Sucumbíos     ;21;Sucumbíos     ;2101;Lago Agrio    ;2101;Lago Agrio    ;2101;Lago Agrio    ;2101;Lago Agrio    ;0;28;27;26;0;17;17;18;0;11;10;8;0;426433;624763;589637;13582803018
13582862014;1;Azuay          ;1;Azuay          ;1;Azuay          ;1;Azuay          ;101;Cuenca        ;101;Cuenca        ;101;Cuenca        ;101;Cuenca        ;11;13;13;13;1;2;3;3;10;11;10;10;246586;228904;195445;174935;13582862014
13582885014;1;Azuay          ;1;Azuay          ;1;Azuay          ;1;Azuay          ;101;Cuenca        ;101;Cuenca        ;101;Cuenca        ;101;Cuenca        ;70;71;63;45;52;52;45;32;18;19;18;13;11056588;11067604;10480551;7970320;13582885014
13583065011;1;Azuay          ;1;Azuay          ;1;Azuay          ;1;Azuay          ;101;Cuenca        ;101;Cuenca        ;101;Cuenca        ;101;Cuenca        ;19;19;20;20;13;13;14;14;6;6;6;6;742818;765229;695479;659801;13583065011
13583114011;1;Azuay          ;1;Azuay          ;1;Azuay          ;1;Azuay          ;101;Cuenca        ;101;Cuenca        ;101;Cuenca        ;101;Cuenca        ;17;19;15;14;11;13;11;8;6;6;4;6;0;0;0;0;13583114011
13583180014;1;Azuay          ;1;Azuay          ;1;Azuay          ;1;Azuay          ;101;Cuenca        ;101;Cuenca        ;101;Cuenca        ;101;Cuenca        ;18;17;18;18;9;7;7;7;9;10;11;11;391131;378481;351406;334269;13583180014
13583320011;4;Carchi         ;4;Carchi         ;4;Carchi         ;4;Carchi         ;401;Tulcán       ;401;Tulcán       ;401;Tulcán       ;401;Tulcán       ;8;9;9;12;7;8;8;11;1;1;1;1;180830;361307;420192;435362;13583320011
